label_fr,label_en
ondes radioélectriques,radio waves
polluants de l'alimentation,alimentation pollution
bruit,noise
indicateurs socio-démographiques,sociodemographical indicators
polluants de l’air,air pollution
polluants de l'eau de boisson,drinking water pollution
métaux,metals
polluants de l'air intérieur,indoor air pollution
facteurs météorologiques,meteorological factors
déchets,waste
pesticides,pesticides
biocides,biocides
polluants de l'eau,water pollution
polluants des sols,soils pollution
ndvi,nvdi
amiante,asbestos
radioactivité,radioactivity
air,air
exposition professionnelles,professional exposure
produits et substances phytopharmaceutiques,plant protection products and substances
radiation,radiation
composés organiques,organic compounds
