"label_en","label_fr","uri"
"Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes",
"Bourgogne-Franche-Comté","Bourgogne-Franche-Comté",
"Centre-Val de Loire","Centre-Val de Loire",
"DROM","DROM",
"Europe","Europe",
"France","France",
"DROM","DROM",
"France et DROM-COM","France et DROM-COM",
"France metropolitaine et DROM","France metropolitaine et DROM",
"France métropolitaine","France métropolitaine",
"Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes",
"Bourgogne-Franche-Comté","Bourgogne-Franche-Comté",
"France métropolitaine (hors Corse)","France métropolitaine (hors Corse)",
"Nouvelle-Aquitaine","Nouvelle-Aquitaine",
"France métropolitaine et DROM (hors Mayotte)","France métropolitaine et DROM (hors Mayotte)",
"France métropolitaine et DROM (sauf Mayotte)","France métropolitaine et DROM (sauf Mayotte)",
"Normandie","Normandie",
"France métropolitaine et DROM-COM","France métropolitaine et DROM-COM",
"France métropolitaire et DROM (hors Mayotte)","France métropolitaire et DROM (hors Mayotte)",
"étranger","étranger",
"Occitanie","Occitanie",
"Grenoble","Grenoble",
"Lyon","Lyon",
"None","Non renseigné",
"Normandie","Normandie",
"Nouvelle-Aquitaine","Nouvelle-Aquitaine",
"Occitanie","Occitanie",
"Pays-de-la-Loire","Pays-de-la-Loire",
"Région Auvergne-Rhône-Alpes","Région Auvergne-Rhône-Alpes",
"Région Île-de-France","Région Île-de-France",
"Régions Bretagne","Régions Bretagne",
"Centre-Val de Loire","Centre-Val de Loire",
"Saint-Martin","Saint-Martin",
"Saint-Barthélémy","Saint-Barthélémy",
"Saint-Pierre-et-Miquelon","Saint-Pierre-et-Miquelon",
