slug,label_en,label_fr,uri,root_uri
scientific_organization,Academia / Scientific Organization,Université / Organisation scientifique,http://purl.org/adms/publishertype/Academia-ScientificOrganisation,http://purl.org/adms/publishertype/
company,Company,Entreprise,http://purl.org/adms/publishertype/Company,http://purl.org/adms/publishertype/
industry_consortium,Industry Consortium,Consortium d'industriel,http://purl.org/adms/publishertype/IndustryConsortium,http://purl.org/adms/publishertype/
local_authority,LocalAuthority,Autorité locale,http://purl.org/adms/publishertype/LocalAuthority,http://purl.org/adms/publishertype/
national_authority,National Authority,Autorité nationale,http://purl.org/adms/publishertype/NationalAuthority,http://purl.org/adms/publishertype/
non_governmental_organization,Non Governmental Organization,Organisation Non Gouvernementale,http://purl.org/adms/publishertype/NonGovernmentalOrganisation,http://purl.org/adms/publishertype/
non_profit_organization,Non Profit Organization,Organisation à but non lucratif,http://purl.org/adms/publishertype/NonProfitOrganisation,http://purl.org/adms/publishertype/
private_individuals,Private Individual(s),Particulier(s),http://purl.org/adms/publishertype/PrivateIndividual(s),http://purl.org/adms/publishertype/
regional_authority,Regional Authority,Autorité régionale,http://purl.org/adms/publishertype/RegionalAuthority,http://purl.org/adms/publishertype/
standardization_body,Standardization Body,Organisme de normalisation,http://purl.org/adms/publishertype/StandardisationBody,http://purl.org/adms/publishertype/
supra_national_authority,Supra National Authority,Autorité supranationale,http://purl.org/adms/publishertype/SupraNationalAuthority,http://purl.org/adms/publishertype/
