label_fr, label_en, uri
Accidentologie,,
Adresses,,
Amiante naturel en affleurements dans les formations géologiques ,,
Anciens sites miniers français d'uranium ,,
Aérobiologie  Qualité de l'air : pollens et moisissures  ,,
Biocides,,
Bruit,,
Carroyage,,
Carte des reliefs,,
Cartographie des masses d'eau sensibles à la pollution,,
Cartographie des zones polluées par l'eau,,
Cartographie du bruit associé aux trafics,,
Climatologie,,
Connaissance du paysage pédologique ,,
Contaminants chimiques dans l'alimentation,,
Contaminants de l'eau,,
Contours géométriques des IRIS,,
Déchets radioactifs ,,
Délimitations des parcelles viticoles,,
Eauxs souterraines ,,
Ecosystèmes forestiers ,,
"Emissions atmosphériques des secteurs de l'industrie, du transport,  tertiaire et agricole ", ,
Emissions polluantes et Déchets,,
Exposition aux métaux et activités professionnelles,,
Exposition des population au bruit,,
Exposure of individuals and populations in Europe to UV radiation,,
Fond cartographique,,
"Gestion des déchets,  Développement durable",,
Géologie,,
Index des substances phytosanitaires,,
Indicateurs d'exposition spatialisés agrégés et combinés ,,
Inventaire des dépôts de résidus miniers ,,
Inventaire et cartographie des sols ,,
Limites administratives,,
Locaux à usage d'habitation,,
Mesures de bruit,,
Milieux agricoles,,
Météorologie,,
Niveaux d'exposition aux musiques amplifiées du jeune publique,,
Occupation des sols,,
Paramètres descriptifs de la population française,,
Parcelles vitivinicoles,,
Pesticides dans l'air,,
Pollution / Contamination des sols,,
Pollution atmosphérique ambiante,,
Pollution des eaux souterraines,,
Propriétés physico-chimiques des sols et occupation des terres ,,
Prévision atmosphérique,,
Prévision de la chimie atmosphérique et transport,,
Qualité agronomique des sols ,,
Qualité de l’air : pollution atmosphérique ,,
Qualité des eaux littorales ,,
Qualité de l'air,,
Qualité de l'air dans les établissements recevant du public ,,
Qualité de l'air et Bruit,,
Qualité de l'air et acoustique,,
Qualité de l'eau,,
Qualité des eaux,,
Qualité des eaux de surface / Connaissance milieux,,
Qualité des sols,,
Qualité des sols urbains,,
Radioactivité,,
Radiofréquence,,
Radon émis par les formations géologiques,,
Rayonnements ionisants,,
Recensement des sites naturels/ biodiversité ,,
Référentiel de masse d'eau,,
Référentiel hydrographique français,,
Référentiel hydrogéologique français,,
Réseaux de mesure de stations,,
Sites et sols pollués,,
Trafic routier,,
Ventes de produits phytopharmaceutiques,,
